"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"GTSE1",51512,"768025019; 1034629036; 1519315781; 530420136","XP_016884305; XP_011528515; XP_005261684; NP_057510","Q9Y557; Q53GX5; Q5R3I6; Q9BRE0; Q9NYZ3; Q20WK2; Q6DHX4; Q9UGZ9; B0QYM3"
"GTSF1",121355,"194306537; 1370461173; 1034577941","NP_653195; XP_016874289; XP_024304602; ","Q8WW33; Q0VGM4; B3KQ60; A0A024RB57; Q8N778"
"GTSF1L",149699,"57165364; 530417873; 31088934","NP_001008901; NP_789761; XP_005260355","Q5JWH5; Q9H1H1"
"GUCA1A",2978,"40254415; 767939861; 767939857; 578811626; 975830181; 975830179","XP_006715136; NP_001305991; XP_011512841; NP_001305990; NP_000400; XP_011512839","B3KWT4; B2R9P6; Q9NU14; P43080; Q7Z6T1"
"GUCA1B",2979,"153945858","NP_002089","Q7Z3V9; Q9UMX6; Q9NU15"
"GUCA1C",9626,"1394533313; 215983090; 767928065; 530375560","XP_005247967; XP_011511636; NP_001350813; NP_005450","C9JNI2; O95843; O95844; Q9UNM0"
"GUCA2A",2980,"38176149","NP_291031","Q02747"
"GUCA2B",2981,"6005774","NP_009033","Q16661; Q52LV0"
"GUCD1",83606,"530420415; 50845407; 545746397; 545746331; 545746292; 545746329; 545746404; 545746307; 545746304","NP_001271181; NP_001271183; NP_113632; NP_001271185; XP_005261818; NP_001271180; NP_001271182; NP_001271184; NP_001271186","E9PGZ7; E7EX77; A0A024R1B8; Q96Q79; Q7Z629; B5MCL7; B4DL90; Q9BU32; A0A087WVD9; Q96NT3; B5MCB8"
"GUCY1A1",2982,"374253804; 530377607; 578809074; 194595472; 194595478; 530377609; 67763816; 194595482; 530377605; 767931796; 578809076; 194595476; 194595474","XP_006714259; NP_001243378; XP_005263014; XP_011530202; NP_000847; NP_001124156; NP_001124154; NP_001124157; XP_005263013; NP_001124159; NP_001124155; XP_005263012; XP_006714260","Q02108; O43843; B3KU69; D6RDW3; Q8TAH3; D3DP19"
"GUCY1A2",2977,"4504211; 374093198","NP_000846; NP_001243353","B7ZLT5; P33402; A1L4C4"
"GUCY1B1",2983,"634743259; 1034639656; 634743225; 634743245; 1034639660; 4504215; 767931798; 1034639654; 1034639658; 634743239; 634743256","XP_011530203; NP_001278882; NP_001278884; NP_001278880; XP_016863622; XP_016863621; XP_016863619; XP_016863620; NP_001278881; NP_001278883; NP_000848","B7Z426; B7Z6G8; B7Z9H9; E9PCN2; Q02153; D6RC99; Q86WY5; B7Z685"
"GUCY2C",2984,"767971851; 222080083","XP_011518933; NP_004954","B2RMY6; P25092"
"GUCY2D",3000,"4504217; 767992038; ","NP_000171; XP_011522118; ","Q02846; Q6LEA7"
"GUCY2F",2986,"134152694; ","NP_001513; ","P51841; Q9UJF1"
"GUF1",60558,"1370487429; 1064244147; 1064244180; 157426893; 1064244138","NP_001332798; NP_001332796; NP_068746; XP_024309946; NP_001332797","Q5XKM8; Q9H710; Q9H8U4; Q8N442; A0A024R9T3"
"GUK1",2987,"4504221; 530366145; 226874833; 338827696; 338827698; 226874831","XP_005273161; NP_001152862; NP_001152863; NP_001229769; NP_001229768; NP_000849","Q6IBG8; B1ANH1; A0A024R3U5; Q16774"
"GULP1",51454,"578804475; 358030325; 358030327; 578804461; 578804465; 1034614574; 7705318; 578804457; 767918498; 1034614562; 767918506; 578804459; 767918492; 1034614566; 578804463; 578804467; 767918496; 767918500; 1034614569; 1034614572; 1034614564; ","XP_006712647; XP_011509635; XP_016859796; XP_016859797; NP_001239597; NP_001239598; NP_057399; XP_006712644; XP_006712646; XP_011509634; XP_011509637; XP_006712643; XP_006712645; XP_011509631; XP_011509633; XP_016859792; XP_016859793; XP_016859795; XP_006712652; XP_006712648; XP_016859794; ","Q53RF3; B4DQ40; B2RB51; D3DPH1; Q9BVL3; E9PB86; B8ZZ72; Q9UBP9; Q53PC1"
"GUSB",2990,"268834192; 641451057; 641451059; 530385800; 767947579; 1034655250; 546230986; 1034655252; 767947581; 1034655245","XP_016867581; NP_000172; NP_001280034; XP_005250354; XP_011514415; XP_016867580; XP_016867582; XP_011514416; NP_001271219; NP_001280033","Q549U0; E9PCV0; P08236; B4E1F6; Q96CL9"
"GVQW2",100507462,"337298891; ","NP_001229669","A0A096LPI5"
"GVQW3",100506127,"540344548; 1370458518; 1119201807; 1119202533; 1370458520; 764020073","XP_024304050; NP_001334813; XP_024304049; NP_001334814; NP_001292154; NP_001269385","Q8N9C3; Q3ZCU0; A0A0U1RQW1"
"GXYLT1",283464,"153791362; 153791276; 1034579211","NP_001093120; NP_775872; XP_016874700","Q8IXV1; Q4G148; B3KWJ2; Q96BH4"
"GXYLT2",727936,"1034635349; 767924172; 767924174; 122937187; 1034635351","NP_001073862; XP_011532369; XP_016862612; XP_011532370; XP_016862613","A0PJZ3"
"GYG1",2992,"1034632936; 296040507; 1034632938; 20127457; 296040505","XP_016861764; XP_016861765; NP_001171650; NP_001171649; NP_004121","D3DNH0; D3DNH1; Q9UNV0; Q6FHZ1; P46976; D3DNH2"
"GYG2",8908,"119943093; 296040447; 1034675570; 1034675573; 1034675575; 768032845; 119964690; 296040440; 1034675566; 1034675568; 296040445","XP_016885418; XP_016885419; NP_001171631; NP_001171632; NP_001171633; XP_016885420; NP_003909; NP_001073324; XP_016885416; XP_016885417; XP_011543902","Q1ZYL7; B3KUV6; O15486; O15489; O15485; O15490; B7WNN6; O15487; O15488"
"GYPA",2993,"1034639662; 1034639664; 1034639666; 815891061; 815891063; 298286506","XP_016863624; NP_001295116; XP_016863623; NP_001295119; XP_016863625; NP_002090","B8Q182; E9PD10; A0A2R8Y7F9; B8Q185; A0A0C4DFT7; Q14419; P02724; Q9BS51; A8K3E6"
"GYPB",2994,"299758500; 767931804; 767931802; 749502316; 767931806; 1034639671","NP_001291311; XP_011530207; XP_011530206; XP_016863626; XP_011530205; NP_002091","Q58HE9; Q0VAF4; E2QBW7; Q9UCH7; P06028; Q58HF0; D6RBP2; Q58HF1; B8Q175; B8Q174"
"GYPC",2995,"4504229; 375268693; 578804160; 8051605","NP_001243513; XP_006712523; NP_002092; NP_058131; ","P04921; B2R522; Q53SV9; Q92642"
"GYPE",2996,"149408155; 149408157; 1034639676; 1034639678; ","NP_941391; XP_016863629; XP_016863628; NP_002093; ","D3DNZ5; P15421"
"GYS1",2997,"239049591; 31542868","NP_002094; NP_001155059","P13807; Q9BTT9"
"GYS2",2998,"1370461776; 119372286; 1034579305; 578822832","XP_024304728; XP_006719126; XP_016874734; NP_068776","A0AVD8; P54840"
"GZF1",64412,"768014206; 1370480847; 530425899; 1034625684; 1034625681; 1370480845; 768014208; 530425895; 948549888; 948549872; 1034625679; 11968150","XP_011527624; XP_016883506; XP_005260857; XP_016883508; XP_016883507; XP_024307736; XP_011527623; NP_001303941; NP_001303948; XP_005260859; XP_024307737; NP_071927","Q9H116; D3DW39; A8K199; Q9H6W6; B2RBC3; B3KPL4; B4DF58; Q9H117; Q96N08; Q9BQK9; Q54A22"
"GZMA",3001,"1519315262","NP_006135; ","P12544; Q6IB36; A4PHN1"
"GZMB",3002,"1068937233; 221625528","NP_004122; NP_001332940","J3KQ52; Q67BC3; Q9UCC1; Q6XGZ4; P10144; Q8N1D2"
"GZMH",2999,"399124765; 399124767; 767980371; 15529990","NP_001257709; NP_001257710; XP_011534985; NP_219491","P20718; G3V2C5; Q6XGZ0; Q6XGZ1"
"GZMK",3003,"4504235","NP_002095","B2R563; P49863"
"GZMM",3004,"1519316264; 385275110","NP_001245280; NP_005308","P51124"
"H1F0",3005,"4885371","NP_005309","P07305; Q6FG88; Q8N6R3; B2R6I0; B4DRD6"
"H1FNT",341567,"32401437","NP_861453","Q75WM6; Q5GKZ5; A0A140VK96; Q7Z694; Q147U8"
"H1FOO",132243,"1034631284; 24475863; 815891235","NP_722575; XP_016861222; NP_001295191","Q8IZA3; Q86WT7"
"H1FX",8971,"5174449","NP_006017","Q92522"
"H2AFB1",474382,"63029941","NP_001017990","Q5TZB2; Q6FG78; P98176; A0PK90; Q96PR7; P0C5Y9"
"H2AFB2",474381,"63029943","NP_001017991","A1L4E4; Q5TZB2; P0C5Z0; Q96PR7; P98176; Q6FG78"
"H2AFB3",83740,"63029935","NP_542451","A1L4E4; P98176; Q96PR7; P0C5Z0; Q5TZB2; Q6FG78"
"H2AFJ",55766,"29553970; ","NP_808760; ","Q9NV63; A0A024RAS2; Q9BTM1"
"H2AFV",94239,"41406067; 6912616; 20357599; 41406069; 41406071","NP_958844; NP_958924; NP_619541; NP_036544; NP_958925","A6NKY0; Q71UI9; Q6PK98; A6NFA8; A6NN01; Q59GV8; A8MQC5"
"H2AFX",3014,"4504253","NP_002096","Q6IAS5; P16104; Q4ZGJ7"
"H2AFY",9555,"1034646808; 20336746; 767936782; 767936795; 767936797; 4758496; 767936786; 93141018; 530380263; 1034646811; 1370506828; 767936784; 1370506814; 530380257; 93141020; 767936779; 530380261; 767936777; ","XP_011542035; XP_016865557; XP_005272191; NP_004884; XP_011542031; XP_011542033; XP_024302031; XP_005272189; XP_011542034; XP_011542036; XP_011542037; XP_016865556; XP_024302032; NP_613258; XP_005272192; XP_011542032; NP_001035248; NP_613075","Q9H8P3; Q7Z5E3; O75377; Q96D41; Q503A8; Q9UP96; O75367"
"H2AFY2",55506,"8923920","NP_061119","Q5SQT2; Q9P0M6; A0A024QZP6"
"H2AFZ",3015,"4504255","NP_002097","P17317; P0C0S5; Q6I9U0; B2RD56"
"H2BFM",286436,"768037628; 578838343; 256542317","NP_001157888; XP_006724703; XP_011529224","W0TYI6; A6NP82; P0C1H6"
"H2BFWT",158983,"526252790","NP_001002916","Q7Z2G1; Q147W3; B1AK72"
"H3F3A",3020,"4504279","NP_002098","P33155; Q9V3W4; Q66I33; P84243; B2R4P9; P06351; Q5VV55; Q5VV56"
"H3F3B",3021,"4885385","NP_005315","P06351; P33155; Q5VV55; Q66I33; P84243; Q9V3W4; B2R4P9; Q5VV56"
"H3F3C",440093,"188528667","NP_001013721","E9P281; Q6NXT2"
"H6PD",9563,"578800130; 1034563493; 1034563496; 530360729; 52145310; 543583768; ","XP_016858355; XP_005263597; XP_016858354; XP_006711115; NP_001269516; NP_004276","O95479; Q4TT33; Q66I35; R4GMU1; Q68DT3"
"HAAO",23498,"767914247; 1370477162; 767914242; 188497625; 530367413; 767914244; 1034612787; 1370477160","XP_011531032; XP_005264287; XP_011531031; XP_024308542; XP_016859206; XP_024308543; NP_036337; XP_011531033","Q53QZ7; Q8N6N9; P46952; A6NE56; B4DIN2"
"HABP2",3026,"4758502; 295054188; ","NP_001171131; NP_004123","F5H5M6; B7Z8U5; Q14520; A8K467; O00663"
"HABP4",22927,"530390749; 157676331; 1034664460","XP_016869973; NP_055097; XP_005251869","Q8WV33; O75804; Q9NYJ2; Q5JVS0"
"HACD1",9200,"530392544; 82659105","XP_005252698; NP_055056","Q9HB93; Q9UHX2; Q6JIC5; B0YJ81; Q96FW7; B0YJ80"
"HACD2",201562,"38257153; 1034631713; 1047610168; 1370483424; 1047600470; 1047600455; 1047600395","XP_016861345; NP_001316712; NP_001316716; NP_940684; NP_001316715; XP_024309155; NP_001316713","Q6Y1H2"
"HACD3",51495,"767984394; 117168248","NP_057479; XP_011519966","Q8IUI5; Q9NQA7; B4DRF4; Q6PD63; Q96T12; Q9P035; Q8NC86; H3BRL8; A0PJA1; Q8NCB1; Q280Z3"
"HACD4",401494,"1034665240; 148226324; 1034665242; 767954886; 1013071045; 1013385923","NP_001308832; NP_001308812; XP_016870202; XP_016870203; XP_011516178; NP_001010915","Q5VWC8; Q7Z385"
"HACE1",57531,"1034651035; 1182918615; 1182921778; 116875852; 1034651043; 1182923948; 1034651049; 1007359986; 1007360504; 1182924236; 1182918870; 1007360490; 1182922972; 1182919191","NP_001337483; NP_001337485; NP_001308013; NP_001337487; NP_065822; NP_001308009; NP_001308012; NP_001337486; NP_001337489; XP_016866608; XP_016866611; NP_001337488; NP_001337484; XP_016866603","B4DFM6; Q5VUA0; A8K6U5; Q8ND12; Q8IYU2; B3KY89; B7Z9X6; E9PGP0; Q5VU99; Q9P2M6; B4DTQ4"
"HACL1",26061,"548923675; 548923731; 548923681; 93004078","NP_036392; NP_001271344; NP_001271345; NP_001271342","Q9BV42; Q9P0A2; B4DXI5; B4DXR1; Q9UJ83; E9PEN4; B4DWI1"
"HADH",3033,"296179429; 1061899978; 296179427","NP_001317956; NP_001171634; NP_005318","O00753; Q16836; J3KQ17; O00397; Q4W5B4; B3KTT6; O00324"
"HADHA",3030,"20127408","NP_000173","B4DYP2; Q16679; Q53T69; Q96GT7; Q9UQC5; B2R7L4; Q53TA2; E9KL44; P40939"
"HADHB",3032,"1370477452; 528281413; 4504327; 528281411; 767914416; 1370477454; ","NP_000174; XP_024308599; NP_001268442; XP_024308598; XP_011531105; NP_001268441","P55084; O14969; Q9H3F5; B2RB16; B4E2W0; Q53TA6; Q96C77; Q9T2V8; F5GZQ3"
"HAGH",3029,"94538322; 1034594472; 555943912; 1394533491; 767987163; 1370468372; 94538320; 767987165; 1394533515","NP_001350843; XP_011520771; NP_005317; NP_001273178; XP_016878684; NP_001035517; NP_001350841; XP_011520772; XP_024306017","Q16775; B4DRA7; E7EN93; A8K290; H3BPQ4; B4DP33"
"HAGHL",84264,"767987754; 1446500461; 1021312162; 530409265; 1021312424; 14150041; 1034596293; 588480426; 588480498; 530409267; 767987752; 1034596295","XP_005255689; NP_001352211; XP_011521013; XP_016879263; NP_001310565; XP_016879262; NP_001277066; NP_001277068; NP_001310564; NP_115680; XP_005255688; XP_011521014","D3DU64; Q59FX8; Q9BT45; A6NCC4; Q96NR5; B4DED4; Q96BZ3; Q96S11; Q6PII5"
"HAL",3034,"385251411; 385251407; 1034579308; 767974000; 4504333","XP_011536551; NP_001245262; XP_016874735; NP_001245263; NP_002099","B4DQC1; P42357; B4E0V8; F5GXF2; Q4VB93; Q4VB92; F5H1U5"
"HAMP",57817,"10863973","NP_066998","Q1HE14; Q9BY68; P81172"
"HAND1",9421,"530380724; 4758506; ","XP_005268588; NP_004812","O96004"
"HAND2",9464,"12545384","NP_068808","P61296; O95300; O95301; Q494T1; P97833; B6ECG9"
"HAO1",54363,"11068137","NP_060015","A8K058; Q9UJM8; Q9UPZ0; Q9Y3I7; Q14CQ0"
"HAO2",51179,"1370453366; 1370453353; 666335628; 1370453357; 1370453360; 1370453362; 1034558994; 767904577; 1370453355; 1370453364; 1370453368; 7705393","XP_011539860; XP_024303261; NP_001005783; XP_016856910; XP_024303254; XP_024303266; XP_024303253; XP_024303260; XP_024303263; XP_024303252; XP_011539863; NP_057611","Q9UJS6; Q2TU86; Q9NYQ3; Q5QP00"
"HAP1",9001,"120431743; 120431745; 1525621993; 1525621999; 1525621997; 120431738; 1525621995","NP_001354390; NP_001354391; NP_817084; NP_001354388; NP_001073339; NP_001073340; NP_001354389","Q9H4G3; Q9NY90; A8MQB5; P54257; Q9HA98; O75358; Q59GK4"
"HAPLN1",1404,"1034643639; 1034643641; 767935355; 1034643643; 1034643645; 4503053","XP_016864543; XP_016864540; XP_016864542; NP_001875; XP_011541470; XP_016864541","B2R9A9; A0A024RAK9; P10915"
"HAPLN2",60484,"1034560859; 530365230; 1034560856; 11141887; 1370454132; 767910105","XP_011508155; XP_024304596; XP_016857510; XP_016857509; XP_005245472; NP_068589","Q5T3J0; Q9GZV7"
"HAPLN3",145864,"1034589779; 767983379; 1034589777; 808154260; 1034589781; 30102948","NP_001294881; XP_011519563; XP_016877424; XP_016877425; XP_016877423; NP_839946","Q96S86; A0A024RC58; H3BTH8; A8K7P0; A8K7T8"
"HAPLN4",404037,"30794472","NP_075378","Q86UW8; A5PKW5; Q96PW2"
"HARBI1",283254,"767965710; 1034573218; 1034573222; 1034573224; 1370459176; 767965708; 767965712; 767965716; 1034573226; 767965714; 1034573220; 27883880","XP_024304221; XP_011518327; XP_016873094; XP_011518328; XP_011518331; XP_016873092; XP_016873095; XP_016873091; NP_776172; XP_011518330; XP_016873093; XP_011518329","Q96MB7; D3DQP9"
"HARS",3035,"574278942; 574279253; 384475554; 384475556; 6996014; 384475552; 574278766","NP_001276022; NP_001244970; NP_001244969; NP_002100; NP_001244971; NP_001276021; NP_001276023","B4DDD8; J3KNE5; B4E1C5; B4DHQ1; B4DY73; D6REN6; P12081"
"HARS2",23438,"767937686; 1034644393; 523567531; 1391723582; 1034644399; 1370488782; 1034644401; 523567533; 1391723599; 1034644395; 1034644397; 15029520","XP_016864779; XP_016864781; XP_024301776; NP_001265660; NP_036340; NP_001350465; XP_016864778; NP_001265661; XP_011535921; XP_016864777; NP_001350464; XP_016864780","B4DDN8; A0A2R8Y5P7; B4DDY8; A0A2R8Y6I1; P49590"
"HAS1",3036,"768008722; 661903019; 167466171","NP_001284365; XP_011525186; NP_001514","Q9NS49; D2N2G5; G3V1S7; Q92839; Q8IYH3; Q14470"
"HAS2",3037,"4885391","NP_005319","Q92819; Q32MM3"
"HAS3",3038,"313482795; 767989862; 20302153; 530423843; 20302155","XP_011521363; XP_005255978; NP_005320; NP_001186209; NP_619515","Q96RV2; O00219; Q9NYP0; Q8WTZ0; A8K5T5"
"HASPIN",83903,"56790919","NP_114171","A0PJ70; Q5U5K3; Q9BXS7; Q96MN1; Q8TF76"
"HAT1",8520,"1034617243; 578805046; 1370479311; 1034617245; 1370479313; 1519313635","XP_006712871; XP_016860625; NP_003633; XP_024308954; XP_016860626; XP_024308955","Q53QF0; Q6P594; O14929; Q49A44; Q53SU4; Q8WWB9"
"HAUS1",115106,"19923971; ","NP_612452; ","Q8N837; Q96CS2; B2RDM7"
"HAUS2",55142,"1034591242; 194394168; 1021312399; 8922430; 1034591240; 1021312315; 1021312130; 1021311860","NP_001310561; NP_060567; NP_001310560; NP_001310558; NP_001310559; NP_001123919; XP_016877885; XP_016877886","H3BP16; Q9H9B3; C9JH36; A0A024R9M5; A0A024R9P0; Q9NVX0"
"HAUS3",79441,"56711324; 734703977","NP_001290072; NP_078787","Q68CZ6; Q8TAZ5; B4DF64; Q9BTJ9; O43606"
"HAUS4",54930,"261824039; 261824035; 261824037","NP_060285; NP_001159741; NP_001159742","Q86T16; Q9NX59; Q86T15; B7WP17; Q9H6D7; D3DS34; Q86U43"
"HAUS5",23354,"768007717; 149944680; ","XP_011524986; NP_056117","Q7L3D5; O94927; Q96CT8; Q6P2P7; B2RXK1"
"HAUS6",54801,"767955019; 31377562; 400153758","NP_060115; NP_001257819; XP_011516237","Q14CD9; Q6IQ10; Q8IZQ4; Q9H950; Q96FN0; B3KPK4; Q9H998; B4DX82; Q7Z4H7; Q2TA91; Q9HCJ8; Q9NXT8; Q05CG1; Q14CB6; Q6NZX5"
"HAUS7",55559,"66346717; ","NP_059988","Q9NP54; Q9UFH9; Q99871; D3DWT9; Q96HS8; B4DUH6"
"HAUS8",93323,"58761506; 58761504; 530415359","NP_001011699; NP_219485; XP_005260211","Q86WF0; C9JBZ4; Q96FX3; Q49AC4; Q9BT25; B4DJA7"
"HAVCR1",26762,"1370488848; 1370488851; 1034644540; 1370488846; 153085427; 1370488844; 290560750; 812094970; 767938282; 1370488840; 1370488842","XP_016864828; XP_024301790; NP_001166864; XP_024301788; XP_024301787; NP_036338; NP_001295085; XP_011532817; XP_024301789; XP_024301791; XP_024301792","O43656; E9PFX0; Q96D42; B4DPB1"
"HAVCR2",84868,"49574534","NP_116171","Q8WW60; Q8TDQ0; B2RAY2; Q96K94"
"HAX1",10456,"66363694; 13435356","NP_006109; NP_001018238","A0A0S2Z565; B4DUJ7; Q5VYD7; A8W4X0; Q96AU4; A0A0S2Z591; O00165; A8W4W9; Q5VYD5; Q9BS80"
"HBA1",3039,"4504347","NP_000549","P69905; Q1HDT5; Q3MIF5; Q9NYR7; Q9UCM0; P01922; Q53F97; Q96KF1; D1MGQ2"
"HBA2",3040,"4504345; ","NP_000508; ","Q9UCM0; D1MGQ2; Q53F97; Q96KF1; Q9NYR7; Q3MIF5; P69905; P01922; Q1HDT5"
"HBB",3043,"4504349; ","NP_000509; ","Q9UCP8; P02023; Q6R7N2; Q9UCD6; Q13852; A4GX73; Q549N7; Q14510; Q6FI08; B2ZUE0; Q14481; P68871; Q8IZI1; Q9BX96; D9YZU5; Q9UCP9; Q45KT0"
"HBD",3045,"4504351","NP_000510; ","Q3Y5H3; P02042; Q8WXT7; A0N071"
"HBE1",3046,"4885393","NP_005321","P02100; D9YZU7; Q6FH44"
"HBEGF",1839,"4503413","NP_001936","Q99075; B2R821"
"HBG1",3047,"28302131","NP_000550","P69891; P62027; Q549G1; D9YZU8; Q96FH7; P02096; Q8TDA1"
"HBG2",3048,"6715607","NP_000175","P02096; Q68NH9; Q96FH7; P69892; Q14491; A8MZE0; P62027; Q96FH6; D9YZU9"
"HBM",3042,"51510893","NP_001003938","A0A1K0FU50; Q6B0K9"
"HBP1",26959,"530385735; 1370509858; 21361411; 530385733; 1034654904; 1370509854; 346716352","XP_005250323; XP_005250324; XP_024302482; NP_001231191; XP_024302481; XP_016867456; NP_036389","Q8TBM1; O60381; Q8TE93; Q96AJ2; B3KVB7; B4DJ36; A0A024R722"
"HBQ1",3049,"4885395","NP_005322","A0A1K0GUV5; P09105; Q13723; Q1W6G5"
"HBS1L",10767,"223555963; 1034648211; 1370507210; 223633995; 1393428226; 5729864","NP_001138630; NP_001350615; XP_016865681; NP_001138679; NP_006611; XP_024302076","Q9Y450; Q9UPW3; Q4VX89; Q4VX90; Q8NDW9; Q5T7G3; B7Z365; D9YZV0"
"HBZ",3050,"530407992; 4885397; 530407994","NP_005323; XP_005255345; XP_005255344","P02008; Q6IBF6"
"HCAR1",27198,"14211851","NP_115943","Q9BXC0; Q3Y5J3; B2R9X4; Q4VBN1; Q6NXU5"
"HCAR2",338442,"29171311","NP_808219","Q8TDS4; A0PJL5; A7LGG3"
"HCAR3",8843,"157738694","NP_006009","B2R830; A8K4G5; P49019; E9PI97; Q8NGE4"
"HCCS",3052,"1370516131; 169790849; 285002259; 169790851","NP_005324; NP_001116080; XP_024308136; NP_001165462","P53701; B3KUS1; A0A024RBY9; Q502X8"
"HCFC1",3054,"578838841; 768039914; 1034674158; 768039909; 98986457; 578838843; 1034674160","XP_006724879; XP_011529450; XP_016884960; XP_011529449; XP_006724878; NP_005325; XP_016884961","A6NEM2; P51610; Q6P4G5"
"HCFC1R1",54985,"568815707; 1034595091; 50952466; 8923536; 568815671; 568815705; 568815696; 809279639; 767987395; 50952468","XP_016878873; NP_001002017; NP_001002018; NP_001275594; NP_060355; NP_001275595; NP_001275596; NP_001294999; XP_011520861; NP_001275597","D3DUA7; I3L1N5; J3KNY1; Q9NWW0; Q68EN7"
"HCFC2",29915,"7019405; 1034579295; 1034579293","XP_016874730; NP_037452; XP_016874731","C0H5X3; B2R8Q5; Q9Y5Z7"
"HCK",3055,"30795229; 287326622; 287326432; 287326139; 287326900; 287326753","NP_001165600; NP_001165603; NP_002101; NP_001165601; NP_001165602; NP_001165604","Q504R5; E1P5M2; P08631; A8K1I1; Q29RX1; Q2VPE2; Q5T7K2; Q96CC0; Q9NUA4; F6SF04; Q9H5Y5; B4DQB6; Q5T7K1; Q9UMJ5; A8K4G3"
"HCLS1",3059,"635574580; 1519316245","NP_005326; NP_001278970","Q6IBK9; B4DQ69; P14317; Q53Y93; Q9UDK0"
"HCN1",348980,"116325989","NP_066550","O60741; Q86WJ6"
"HCN2",610,"156071470","NP_001185","Q9UL51; Q9UBS2; O75267; O60742; O60743"
"HCN3",57657,"38327037; 767910016; 767910018; 767910020; 1034560562; ","NP_065948; XP_011508119; XP_011508118; XP_016857407; XP_011508120; ","Q9BWQ2; Q9P1Z3; Q8N6W6; D3DV90; Q4VX12"
"HCN4",10021,"767983093; 4885407; ","XP_011519450; NP_005468","Q9Y3Q4; Q9UMQ7"
"HCRT",3060,"4557635","NP_001515","O43612"
"HCRTR1",3061,"1370452917; 1370452913; 222080095; 1370452919; 1034557989; 1370452915","XP_016856596; XP_024302370; XP_024302372; XP_024302371; NP_001516; XP_024302373","O43613; A8K3A6; A6NMV7; Q9HBV6"
"HCRTR2",3062,"1034650039; 222080109","XP_016866287; NP_001517","Q5VTM0; S4X0W3; O43614"
"HCST",10870,"1034605882; 15826850; 56117854","NP_055081; NP_001007470; XP_016881682","Q9Y3Y0; Q9UBK5; Q9UBS1"
"HDAC1",3065,"767903932; 13128860","XP_011539611; NP_004955; ","Q13547; Q92534; Q6IT96"
"HDAC10",83933,"20070354; 226529806; ","NP_114408; NP_001152758","Q969S8; Q9H028; Q9UGX2; Q08AP4; Q9UGX1; Q6STF9; Q96P77; Q96P78"
"HDAC11",79885,"1034635673; 1370485212; 767924347; 1370485214; 1370485218; 209862883; 217272877; 767924339; 1060604696; 1370485216; 530373200; 1370485210; 578806599; 1034635675","XP_024309529; NP_079103; XP_011532434; XP_024309531; XP_024309533; XP_016862723; XP_005265548; XP_006713401; XP_011532437; NP_001317565; XP_011532433; XP_024309530; XP_024309532; NP_001129513","Q96DB2; Q9NTC9; Q9H6I7; B5MCQ6; Q6IA14; E7ETT9; B4DDK1; A0A024R2I1; Q9H6X3"
"HDAC2",3066,"293336691; 1034650041; ","XP_016866288; NP_001518; ","Q92769; Q5SRI8; Q5SZ86; E1P561; Q8NEH4; B3KRS5; B4DL58"
"HDAC3",8841,"1239469429; 1239469515; 13128862; 1239469424","NP_001341968; NP_003874; NP_001341969; NP_001341970","O15379; D3DQE1; O43268; Q9UEV0; Q9UEI5"
"HDAC4",9759,"767920742; 767920749; 767920760; 767920766; 767920772; 1034618066; 767920756; 1034618060; 578805269; 578805271; 578805273; 767920762; 767920758; 767920747; 767920752; 1370479645; 153085395; 578805267; 767920745; 767920754","XP_006712942; XP_011510527; XP_011510529; XP_024309025; XP_011510522; XP_011510526; XP_006712940; XP_006712941; XP_011510520; XP_016860884; XP_011510525; NP_006028; XP_011510528; XP_006712943; XP_011510523; XP_011510532; XP_016860883; XP_011510519; XP_011510521; XP_011510524","P56524; F5GX36; Q86YH7; E9PGB9; Q9UND6"
